f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,198,112.8477887,107.9112731,92.13458317,91.24499536,89.47609655,2.095999939,23.52300656,-78.00049364,102.2888861,-13.18560646,-5290.956355,6541.900823,-794.0068469
233.68,199,112.8268745,107.8200668,92.16704452,91.24562442,89.47531042,2.091659489,23.57664059,-78.06200002,102.3806989,-13.14294573,-5252.94157,6489.604716,-791.2039818
233.68,200,112.8086646,107.7332593,92.20039182,91.2462322,89.47454024,2.087459403,23.62895303,-78.12206686,102.469816,-13.10189059,-5213.795965,6435.48306,-788.3243482
233.68,201,112.7931594,107.6508402,92.23463661,91.24681885,89.47378604,2.083397346,23.67994581,-78.18069042,102.5562388,-13.0624299,-5173.532587,6379.554326,-785.3687163
233.68,202,112.7803591,107.5728,92.26979048,91.24738455,89.47304787,2.079472851,23.72962074,-78.23786724,102.6399688,-13.02457701,-5132.164141,6321.837133,-782.3376791
233.68,203,112.770264,107.4991287,92.30586482,91.24792933,89.47232579,2.075683484,23.77798,-78.29359445,102.7210085,-12.98831558,-5089.703466,6262.350469,-779.2321044
233.68,204,112.7628744,107.4298164,92.34287113,91.24845345,89.47161976,2.072031208,23.82502613,-78.34786954,102.7993607,-12.95368832,-5046.163471,6201.113597,-776.0520973
233.68,205,112.7581902,107.3648526,92.3808204,91.2489569,89.47092978,2.068511495,23.87076193,-78.40069066,102.8750289,-12.92065188,-5001.557128,6138.146137,-772.7988707
233.68,206,112.7562115,107.3042268,92.41972377,91.24943987,89.47025598,2.065125341,23.91519042,-78.45205629,102.9480169,-12.88923199,-4955.897458,6073.467971,-769.472688
233.68,207,112.7569382,107.247929,92.45959196,91.24990252,89.46959827,2.061870481,23.95831483,-78.50196513,103.018329,-12.85941621,-4909.197469,6007.099196,-766.0743758
233.68,208,112.76037,107.1959475,92.50043571,91.25034498,89.46895666,2.058747727,24.00013862,-78.55041697,103.0859703,-12.83122638,-4861.470472,5939.060459,-762.6041727
233.68,209,112.7665068,107.1482718,92.54226529,91.25076739,89.46833125,2.055755596,24.04066572,-78.5974114,103.1509458,-12.80465496,-4812.729543,5869.372496,-759.0629138
233.68,210,112.7753479,107.1048914,92.58509076,91.25116988,89.4677219,2.052892164,24.07989978,-78.64294837,103.213261,-12.77968989,-4762.98795,5798.056253,-755.4511704
233.68,211,112.7868926,107.0657946,92.62892189,91.25155251,89.46712868,2.050156338,24.11784507,-78.68702859,103.272922,-12.75632706,-4712.259077,5725.133164,-751.7696142
233.68,212,112.8011403,107.0309707,92.67376821,91.25191556,89.46655161,2.047548196,24.15450566,-78.72965278,103.329935,-12.73457694,-4660.55627,5650.624788,-748.0186667
233.68,213,112.8180898,107.0004081,92.7196388,91.25225904,89.46599061,2.045066218,24.18988606,-78.77082225,103.3843069,-12.71443073,-4607.893036,5574.55308,-744.1989843
233.68,214,112.8377399,106.9740953,92.76654248,91.25258313,89.46544572,2.04271054,24.22399086,-78.81053853,103.4360446,-12.6958959,-4554.28292,5496.940221,-740.3109359
